# 20171213 Pull from Ensembl biomart
# Dataset: Mouse genes (GRCm38.p5)
# Filters: With miRBase ID(s): Only
# Attributes: miRBase accession
# Attributes: Gene stable ID
# miRBase accession	Gene stable ID
MI0005471	ENSMUSG00000096628
MI0014061	ENSMUSG00000104652
MI0014066	ENSMUSG00000104652
MI0014068	ENSMUSG00000104652
MI0014073	ENSMUSG00000104652
MI0014075	ENSMUSG00000104652
MI0014077	ENSMUSG00000104652
MI0003522	ENSMUSG00000076140
MI0004690	ENSMUSG00000076217
MI0021890	ENSMUSG00000098366
MI0025024	ENSMUSG00000098840
MI0021915	ENSMUSG00000105738
MI0022939	ENSMUSG00000098490
MI0022800	ENSMUSG00000098625
MI0006288	ENSMUSG00000080657
MI0000709	ENSMUSG00000065422
MI0004133	ENSMUSG00000076387
MI0022910	ENSMUSG00000104914
MI0014052	ENSMUSG00000078026
MI0018023	ENSMUSG00000093315
MI0025025	ENSMUSG00000098400
MI0022940	ENSMUSG00000106193
MI0022865	ENSMUSG00000098422
MI0004675	ENSMUSG00000076216
MI0002401	ENSMUSG00000070099
MI0000597	ENSMUSG00000065425
MI0000391	ENSMUSG00000078035
MI0000164	ENSMUSG00000065512
MI0019180	ENSMUSG00000093291
MI0022801	ENSMUSG00000099260
MI0022891	ENSMUSG00000106581
MI0000165	ENSMUSG00000065439
MI0005478	ENSMUSG00000077996
MI0021894	ENSMUSG00000099214
MI0014049	ENSMUSG00000092813
MI0018035	ENSMUSG00000093269
MI0023721	ENSMUSG00000098596
MI0004676	ENSMUSG00000076312
MI0021943	ENSMUSG00000099174
MI0000711	ENSMUSG00000065542
MI0022912	ENSMUSG00000098759
MI0014038	ENSMUSG00000093081
MI0005502	ENSMUSG00000094261
MI0014060	ENSMUSG00000094261
MI0014063	ENSMUSG00000094261
MI0014067	ENSMUSG00000094261
MI0014070	ENSMUSG00000094261
MI0014105	ENSMUSG00000093241
MI0021919	ENSMUSG00000098480
MI0019318	ENSMUSG00000093508
MI0000154	ENSMUSG00000070076
MI0000627	ENSMUSG00000065436
MI0003523	ENSMUSG00000076005
MI0021885	ENSMUSG00000098721
MI0025012	ENSMUSG00000098751
MI0004662	ENSMUSG00000076141
MI0004171	ENSMUSG00000076313
MI0022889	ENSMUSG00000099035
MI0004965	ENSMUSG00000076011
MI0000576	ENSMUSG00000065610
MI0000553	ENSMUSG00000065488
MI0014025	ENSMUSG00000093358
MI0022826	ENSMUSG00000099066
MI0014021	ENSMUSG00000093227
MI0022870	ENSMUSG00000106597
MI0024994	ENSMUSG00000098917
MI0000792	ENSMUSG00000065616
MI0021918	ENSMUSG00000098766
MI0022051	ENSMUSG00000098918
MI0018041	ENSMUSG00000092679
MI0004637	ENSMUSG00000065518
MI0000161	ENSMUSG00000065407
MI0021916	ENSMUSG00000098886
MI0022970	ENSMUSG00000098831
MI0022797	ENSMUSG00000098666
MI0004125	ENSMUSG00000076269
MI0008313	ENSMUSG00000084516
MI0005509	ENSMUSG00000077981
MI0000566	ENSMUSG00000065606
MI0022902	ENSMUSG00000099330
MI0022875	ENSMUSG00000099284
MI0014083	ENSMUSG00000093338
MI0005550	ENSMUSG00000078057
MI0021959	ENSMUSG00000078057
MI0014051	ENSMUSG00000080504
MI0009914	ENSMUSG00000089204
MI0005494	ENSMUSG00000076315
MI0022747	ENSMUSG00000098288
MI0014028	ENSMUSG00000093037
MI0003520	ENSMUSG00000076063
MI0025034	ENSMUSG00000105964
MI0005483	ENSMUSG00000077111
MI0025005	ENSMUSG00000098632
MI0000160	ENSMUSG00000065426
MI0014054	ENSMUSG00000105783
MI0014055	ENSMUSG00000105783
MI0014058	ENSMUSG00000105783
MI0014061	ENSMUSG00000105783
MI0014066	ENSMUSG00000105783
MI0014068	ENSMUSG00000105783
MI0014073	ENSMUSG00000105783
MI0014075	ENSMUSG00000105783
MI0014077	ENSMUSG00000105783
MI0018037	ENSMUSG00000093290
MI0005517	ENSMUSG00000076372
MI0004118	ENSMUSG00000080669
MI0014040	ENSMUSG00000092784
MI0014095	ENSMUSG00000092921
MI0009935	ENSMUSG00000080452
MI0021917	ENSMUSG00000098362
MI0000579	ENSMUSG00000065408
MI0000689	ENSMUSG00000065394
MI0023733	ENSMUSG00000104958
MI0004635	ENSMUSG00000076068
MI0009923	ENSMUSG00000088752
MI0004652	ENSMUSG00000076121
MI0005512	ENSMUSG00000077049
MI0000233	ENSMUSG00000105497
MI0025020	ENSMUSG00000104747
MI0000406	ENSMUSG00000065456
MI0022755	ENSMUSG00000098279
MI0021954	ENSMUSG00000098910
MI0022821	ENSMUSG00000098291
MI0006280	ENSMUSG00000080459
MI0004647	ENSMUSG00000106252
MI0022850	ENSMUSG00000098464
MI0021933	ENSMUSG00000098980
MI0022748	ENSMUSG00000098997
MI0022352	ENSMUSG00000098687
MI0026046	ENSMUSG00000099227
MI0005474	ENSMUSG00000078038
MI0004134	ENSMUSG00000099236
MI0008318	ENSMUSG00000084747
MI0000549	ENSMUSG00000065437
MI0003518	ENSMUSG00000072900
MI0006299	ENSMUSG00000080383
MI0024992	ENSMUSG00000098906
MI0000150	ENSMUSG00000065454
MI0009970	ENSMUSG00000087932
MI0022858	ENSMUSG00000098808
MI0014027	ENSMUSG00000105524
MI0014035	ENSMUSG00000093351
MI0000145	ENSMUSG00000065476
MI0026018	ENSMUSG00000098286
MI0001161	ENSMUSG00000065497
MI0021952	ENSMUSG00000098264
MI0022782	ENSMUSG00000098955
MI0000697	ENSMUSG00000065565
MI0014031	ENSMUSG00000106366
MI0022885	ENSMUSG00000098624
MI0009948	ENSMUSG00000088491
MI0010752	ENSMUSG00000089294
MI0004685	ENSMUSG00000076163
MI0022809	ENSMUSG00000106563
MI0012530	ENSMUSG00000076455
MI0005496	ENSMUSG00000065509
MI0000588	ENSMUSG00000065563
MI0004646	ENSMUSG00000094933
MI0010690	ENSMUSG00000094933
MI0014056	ENSMUSG00000096894
MI0014065	ENSMUSG00000096894
MI0014076	ENSMUSG00000096894
MI0009943	ENSMUSG00000089570
MI0021873	ENSMUSG00000098689
MI0025001	ENSMUSG00000105697
MI0000157	ENSMUSG00000065424
MI0006128	ENSMUSG00000076948
MI0000140	ENSMUSG00000065580
MI0025022	ENSMUSG00000098826
MI0005476	ENSMUSG00000078017
MI0004661	ENSMUSG00000094403
MI0023541	ENSMUSG00000094403
MI0006299	ENSMUSG00000096383
MI0000713	ENSMUSG00000070126
MI0008317	ENSMUSG00000084523
MI0000621	ENSMUSG00000065593
MI0022920	ENSMUSG00000099076
MI0001638	ENSMUSG00000065450
MI0000714	ENSMUSG00000092807
MI0002402	ENSMUSG00000096624
MI0021932	ENSMUSG00000099326
MI0000646	ENSMUSG00000065435
MI0021876	ENSMUSG00000098407
MI0025014	ENSMUSG00000098553
MI0024993	ENSMUSG00000099101
MI0000817	ENSMUSG00000065501
MI0021948	ENSMUSG00000099264
MI0022911	ENSMUSG00000099092
MI0000228	ENSMUSG00000065431
MI0022792	ENSMUSG00000099096
MI0023717	ENSMUSG00000098406
MI0000407	ENSMUSG00000065514
MI0009950	ENSMUSG00000088639
MI0022882	ENSMUSG00000099212
MI0000558	ENSMUSG00000065564
MI0022926	ENSMUSG00000099129
MI0023715	ENSMUSG00000098247
MI0023719	ENSMUSG00000098299
MI0026052	ENSMUSG00000098944
MI0005551	ENSMUSG00000077890
MI0000227	ENSMUSG00000065464
MI0000390	ENSMUSG00000078041
MI0004589	ENSMUSG00000070136
MI0002406	ENSMUSG00000070104
MI0000717	ENSMUSG00000093073
MI0005505	ENSMUSG00000095536
MI0014057	ENSMUSG00000095536
MI0031753	ENSMUSG00000095536
MI0023737	ENSMUSG00000098446
MI0022873	ENSMUSG00000098830
MI0004601	ENSMUSG00000076316
MI0000795	ENSMUSG00000105200
MI0022937	ENSMUSG00000098327
MI0000708	ENSMUSG00000065585
MI0000634	ENSMUSG00000065481
MI0014107	ENSMUSG00000092794
MI0025015	ENSMUSG00000099075
MI0000231	ENSMUSG00000105904
MI0005556	ENSMUSG00000076049
MI0005547	ENSMUSG00000078027
MI0018017	ENSMUSG00000093017
MI0012531	ENSMUSG00000105770
MI0003476	ENSMUSG00000070107
MI0000695	ENSMUSG00000065551
MI0021899	ENSMUSG00000099149
MI0022760	ENSMUSG00000098811
MI0022806	ENSMUSG00000098442
MI0000821	ENSMUSG00000065480
MI0022917	ENSMUSG00000098976
MI0009991	ENSMUSG00000104618
MI0004691	ENSMUSG00000076051
MI0022750	ENSMUSG00000098606
MI0000684	ENSMUSG00000065594
MI0021953	ENSMUSG00000099160
MI0014041	ENSMUSG00000092972
MI0000704	ENSMUSG00000065528
MI0021869	ENSMUSG00000098555
MI0004658	ENSMUSG00000076064
MI0021947	ENSMUSG00000098932
MI0025042	ENSMUSG00000098884
MI0008321	ENSMUSG00000084559
MI0015984	ENSMUSG00000084559
MI0022919	ENSMUSG00000098331
MI0004639	ENSMUSG00000070105
MI0026029	ENSMUSG00000098942
MI0014054	ENSMUSG00000105365
MI0014055	ENSMUSG00000105365
MI0014058	ENSMUSG00000105365
MI0014061	ENSMUSG00000105365
MI0014066	ENSMUSG00000105365
MI0014068	ENSMUSG00000105365
MI0014073	ENSMUSG00000105365
MI0014075	ENSMUSG00000105365
MI0014077	ENSMUSG00000105365
MI0001160	ENSMUSG00000093089
MI0022931	ENSMUSG00000099147
MI0014046	ENSMUSG00000093118
MI0014096	ENSMUSG00000077107
MI0005498	ENSMUSG00000094894
MI0005499	ENSMUSG00000094894
MI0012529	ENSMUSG00000076333
MI0024986	ENSMUSG00000099319
MI0021866	ENSMUSG00000098658
MI0021941	ENSMUSG00000098952
MI0022844	ENSMUSG00000098548
MI0000691	ENSMUSG00000065544
MI0004645	ENSMUSG00000076146
MI0000761	ENSMUSG00000065510
MI0000721	ENSMUSG00000093238
MI0005475	ENSMUSG00000077881
MI0000554	ENSMUSG00000065400
MI0004516	ENSMUSG00000076448
MI0022778	ENSMUSG00000098613
MI0019186	ENSMUSG00000093615
MI0022807	ENSMUSG00000098698
MI0000176	ENSMUSG00000065448
MI0000148	ENSMUSG00000065451
MI0008328	ENSMUSG00000084565
MI0022941	ENSMUSG00000099226
MI0000402	ENSMUSG00000065552
MI0018032	ENSMUSG00000092990
MI0009925	ENSMUSG00000089324
MI0022818	ENSMUSG00000098460
MI0001734	ENSMUSG00000070138
MI0000237	ENSMUSG00000065411
MI0018011	ENSMUSG00000092852
MI0000728	ENSMUSG00000065434
MI0016965	ENSMUSG00000106655
MI0022824	ENSMUSG00000106514
MI0016974	ENSMUSG00000106183
MI0026040	ENSMUSG00000098465
MI0022777	ENSMUSG00000098774
MI0000394	ENSMUSG00000065521
MI0026050	ENSMUSG00000098310
MI0021870	ENSMUSG00000099257
MI0014707	ENSMUSG00000093120
MI0023707	ENSMUSG00000098719
MI0022898	ENSMUSG00000098558
MI0005503	ENSMUSG00000076966
MI0006281	ENSMUSG00000077834
MI0000800	ENSMUSG00000065457
MI0026054	ENSMUSG00000098896
MI0004124	ENSMUSG00000076460
MI0008320	ENSMUSG00000106344
MI0025003	ENSMUSG00000098714
MI0022851	ENSMUSG00000098686
MI0004553	ENSMUSG00000076272
MI0022888	ENSMUSG00000098822
MI0000248	ENSMUSG00000065533
MI0022830	ENSMUSG00000098475
MI0025033	ENSMUSG00000098677
MI0022868	ENSMUSG00000099200
MI0022862	ENSMUSG00000099033
MI0022810	ENSMUSG00000098419
MI0025008	ENSMUSG00000098873
MI0004203	ENSMUSG00000076451
MI0026023	ENSMUSG00000106463
MI0014030	ENSMUSG00000105428
MI0005515	ENSMUSG00000070110
MI0022897	ENSMUSG00000098325
MI0014048	ENSMUSG00000093234
MI0022886	ENSMUSG00000098574
MI0000143	ENSMUSG00000065604
MI0000823	ENSMUSG00000065578
MI0006302	ENSMUSG00000080409
MI0004640	ENSMUSG00000076212
MI0009961	ENSMUSG00000089139
MI0000715	ENSMUSG00000065524
MI0024991	ENSMUSG00000099082
MI0001653	ENSMUSG00000065486
MI0022749	ENSMUSG00000106302
MI0022863	ENSMUSG00000098737
MI0018033	ENSMUSG00000093087
MI0000548	ENSMUSG00000065567
MI0019196	ENSMUSG00000096189
MI0019197	ENSMUSG00000096189
MI0006299	ENSMUSG00000096172
MI0000575	ENSMUSG00000065468
MI0022914	ENSMUSG00000098532
MI0021872	ENSMUSG00000098797
MI0004554	ENSMUSG00000076453
MI0004636	ENSMUSG00000105220
MI0001526	ENSMUSG00000070133
MI0021861	ENSMUSG00000098437
MI0006297	ENSMUSG00000080626
MI0026030	ENSMUSG00000070109
MI0005554	ENSMUSG00000077897
MI0000585	ENSMUSG00000065511
MI0004664	ENSMUSG00000076147
MI0025032	ENSMUSG00000106400
MI0004679	ENSMUSG00000070102
MI0018028	ENSMUSG00000093176
MI0022808	ENSMUSG00000098527
MI0022761	ENSMUSG00000098701
MI0019182	ENSMUSG00000093498
MI0023710	ENSMUSG00000105329
MI0025030	ENSMUSG00000106406
MI0016972	ENSMUSG00000093311
MI0000820	ENSMUSG00000065460
MI0014023	ENSMUSG00000092870
MI0026034	ENSMUSG00000099225
MI0024995	ENSMUSG00000099050
MI0006296	ENSMUSG00000080533
MI0014043	ENSMUSG00000092751
MI0000687	ENSMUSG00000065508
MI0009967	ENSMUSG00000088478
MI0022899	ENSMUSG00000098783
MI0016981	ENSMUSG00000093100
MI0018038	ENSMUSG00000093254
MI0019179	ENSMUSG00000105210
MI0022780	ENSMUSG00000098958
MI0014054	ENSMUSG00000104734
MI0014055	ENSMUSG00000104734
MI0014058	ENSMUSG00000104734
MI0014061	ENSMUSG00000104734
MI0014066	ENSMUSG00000104734
MI0014068	ENSMUSG00000104734
MI0014073	ENSMUSG00000104734
MI0014075	ENSMUSG00000104734
MI0014077	ENSMUSG00000104734
MI0022813	ENSMUSG00000093202
MI0004686	ENSMUSG00000076240
MI0026028	ENSMUSG00000065420
MI0003718	ENSMUSG00000065447
MI0022828	ENSMUSG00000098297
MI0024996	ENSMUSG00000098251
MI0022805	ENSMUSG00000098663
MI0022768	ENSMUSG00000098547
MI0001146	ENSMUSG00000065499
MI0014701	ENSMUSG00000094253
MI0006289	ENSMUSG00000080594
MI0021935	ENSMUSG00000098513
MI0004684	ENSMUSG00000076123
MI0005511	ENSMUSG00000077941
MI0005472	ENSMUSG00000077896
MI0009932	ENSMUSG00000088901
MI0009968	ENSMUSG00000088464
MI0016968	ENSMUSG00000092830
MI0022357	ENSMUSG00000099301
MI0000617	ENSMUSG00000065560
MI0006292	ENSMUSG00000080424
MI0009918	ENSMUSG00000089260
MI0025004	ENSMUSG00000099320
MI0022922	ENSMUSG00000098511
MI0000399	ENSMUSG00000106653
MI0025040	ENSMUSG00000099196
MI0022877	ENSMUSG00000098656
MI0000726	ENSMUSG00000065441
MI0022775	ENSMUSG00000098415
MI0018036	ENSMUSG00000092981
MI0022745	ENSMUSG00000098680
MI0000706	ENSMUSG00000065430
MI0000226	ENSMUSG00000065596
MI0000403	ENSMUSG00000065587
MI0022794	ENSMUSG00000104926
MI0006287	ENSMUSG00000077038
MI0021957	ENSMUSG00000099161
MI0001645	ENSMUSG00000065489
MI0014054	ENSMUSG00000105182
MI0014055	ENSMUSG00000105182
MI0014058	ENSMUSG00000105182
MI0014061	ENSMUSG00000105182
MI0014066	ENSMUSG00000105182
MI0014068	ENSMUSG00000105182
MI0014073	ENSMUSG00000105182
MI0014075	ENSMUSG00000105182
MI0014077	ENSMUSG00000105182
MI0005546	ENSMUSG00000078031
MI0005004	ENSMUSG00000076010
MI0023730	ENSMUSG00000099286
MI0016980	ENSMUSG00000106278
MI0021587	ENSMUSG00000098343
MI0004692	ENSMUSG00000076143
MI0000640	ENSMUSG00000065573
MI0022836	ENSMUSG00000098928
MI0014037	ENSMUSG00000092741
MI0016975	ENSMUSG00000105557
MI0022820	ENSMUSG00000098445
MI0003533	ENSMUSG00000076006
MI0014110	ENSMUSG00000093039
MI0004130	ENSMUSG00000093122
MI0000699	ENSMUSG00000065539
MI0026024	ENSMUSG00000098634
MI0019319	ENSMUSG00000093441
MI0000741	ENSMUSG00000065485
MI0022765	ENSMUSG00000098296
MI0014064	ENSMUSG00000096134
MI0014071	ENSMUSG00000096134
MI0021887	ENSMUSG00000098676
MI0022845	ENSMUSG00000098453
MI0009942	ENSMUSG00000076959
MI0005521	ENSMUSG00000076255
MI0004681	ENSMUSG00000076271
MI0025026	ENSMUSG00000098289
MI0004249	ENSMUSG00000076457
MI0014098	ENSMUSG00000093108
MI0009944	ENSMUSG00000088980
MI0025031	ENSMUSG00000098316
MI0019192	ENSMUSG00000106228
MI0014033	ENSMUSG00000094952
MI0021883	ENSMUSG00000098287
MI0022773	ENSMUSG00000098317
MI0005488	ENSMUSG00000076956
MI0009937	ENSMUSG00000088860
MI0018043	ENSMUSG00000093167
MI0000556	ENSMUSG00000065421
MI0000581	ENSMUSG00000065527
MI0019194	ENSMUSG00000093710
MI0004687	ENSMUSG00000105814
MI0018044	ENSMUSG00000092907
MI0023734	ENSMUSG00000099331
MI0021923	ENSMUSG00000099036
MI0014064	ENSMUSG00000093900
MI0014071	ENSMUSG00000093900
MI0022854	ENSMUSG00000098735
MI0000603	ENSMUSG00000070130
MI0026049	ENSMUSG00000099124
MI0022916	ENSMUSG00000098710
MI0009920	ENSMUSG00000089214
MI0008315	ENSMUSG00000084728
MI0000796	ENSMUSG00000065498
MI0021874	ENSMUSG00000098273
MI0022757	ENSMUSG00000098562
MI0004638	ENSMUSG00000076145
MI0013007	ENSMUSG00000093280
MI0000169	ENSMUSG00000065592
MI0008319	ENSMUSG00000084663
MI0014054	ENSMUSG00000105546
MI0014055	ENSMUSG00000105546
MI0014058	ENSMUSG00000105546
MI0014061	ENSMUSG00000105546
MI0014066	ENSMUSG00000105546
MI0014068	ENSMUSG00000105546
MI0014073	ENSMUSG00000105546
MI0014075	ENSMUSG00000105546
MI0014077	ENSMUSG00000105546
MI0021863	ENSMUSG00000098539
MI0005505	ENSMUSG00000104561
MI0022966	ENSMUSG00000099109
MI0005505	ENSMUSG00000094659
MI0014057	ENSMUSG00000094659
MI0031753	ENSMUSG00000094659
MI0009993	ENSMUSG00000087993
MI0022843	ENSMUSG00000098786
MI0000577	ENSMUSG00000065548
MI0025028	ENSMUSG00000106642
MI0019184	ENSMUSG00000093403
MI0021901	ENSMUSG00000099015
MI0014103	ENSMUSG00000106471
MI0005493	ENSMUSG00000105372
MI0021586	ENSMUSG00000098648
MI0000793	ENSMUSG00000105178
MI0005502	ENSMUSG00000096053
MI0014060	ENSMUSG00000096053
MI0014063	ENSMUSG00000096053
MI0014067	ENSMUSG00000096053
MI0014070	ENSMUSG00000096053
MI0021911	ENSMUSG00000099011
MI0022791	ENSMUSG00000098341
MI0000584	ENSMUSG00000065493
MI0022859	ENSMUSG00000098712
MI0021904	ENSMUSG00000105002
MI0022812	ENSMUSG00000099123
MI0021865	ENSMUSG00000099184
MI0022796	ENSMUSG00000098961
MI0000141	ENSMUSG00000065599
MI0009965	ENSMUSG00000088054
MI0023716	ENSMUSG00000099223
MI0014087	ENSMUSG00000092862
MI0003535	ENSMUSG00000065561
MI0006295	ENSMUSG00000080526
MI0016977	ENSMUSG00000093096
MI0018047	ENSMUSG00000092738
MI0025023	ENSMUSG00000098489
MI0019196	ENSMUSG00000094173
MI0019197	ENSMUSG00000094173
MI0009951	ENSMUSG00000089261
MI0000395	ENSMUSG00000094316
MI0000171	ENSMUSG00000065470
MI0000547	ENSMUSG00000065490
MI0005557	ENSMUSG00000076357
MI0004486	ENSMUSG00000093142
MI0022904	ENSMUSG00000106470
MI0022767	ENSMUSG00000105908
MI0002403	ENSMUSG00000106253
MI0004671	ENSMUSG00000095509
MI0021884	ENSMUSG00000099300
MI0001160	ENSMUSG00000105849
MI0021903	ENSMUSG00000099045
MI0022743	ENSMUSG00000105982
MI0022358	ENSMUSG00000098858
MI0004643	ENSMUSG00000076065
MI0021880	ENSMUSG00000099141
MI0004706	ENSMUSG00000070081
MI0018039	ENSMUSG00000093036
MI0000155	ENSMUSG00000065520
MI0006293	ENSMUSG00000080573
MI0000139	ENSMUSG00000070144
MI0006307	ENSMUSG00000080665
MI0009964	ENSMUSG00000088414
MI0021929	ENSMUSG00000098410
MI0025007	ENSMUSG00000098764
MI0014045	ENSMUSG00000093076
MI0026025	ENSMUSG00000098457
MI0000170	ENSMUSG00000065601
MI0009954	ENSMUSG00000088552
MI0002405	ENSMUSG00000070073
MI0022856	ENSMUSG00000099105
MI0003534	ENSMUSG00000076219
MI0005508	ENSMUSG00000077998
MI0021871	ENSMUSG00000098611
MI0021930	ENSMUSG00000098785
MI0004642	ENSMUSG00000076253
MI0022884	ENSMUSG00000099003
MI0001163	ENSMUSG00000065477
MI0000560	ENSMUSG00000065608
MI0004653	ENSMUSG00000076009
MI0014697	ENSMUSG00000093912
MI0000723	ENSMUSG00000065458
MI0005502	ENSMUSG00000096360
MI0014063	ENSMUSG00000096360
MI0014070	ENSMUSG00000096360
MI0023723	ENSMUSG00000106323
MI0014054	ENSMUSG00000105330
MI0014055	ENSMUSG00000105330
MI0014058	ENSMUSG00000105330
MI0014061	ENSMUSG00000105330
MI0014066	ENSMUSG00000105330
MI0014068	ENSMUSG00000105330
MI0014073	ENSMUSG00000105330
MI0014075	ENSMUSG00000105330
MI0014077	ENSMUSG00000105330
MI0022871	ENSMUSG00000099043
MI0021882	ENSMUSG00000098829
MI0030346	ENSMUSG00000094210
MI0024990	ENSMUSG00000105010
MI0000138	ENSMUSG00000065406
MI0004227	ENSMUSG00000095292
MI0000388	ENSMUSG00000097826
MI0025038	ENSMUSG00000106761
MI0005482	ENSMUSG00000111838
MI0000389	ENSMUSG00000096925
MI0000390	ENSMUSG00000097782
MI0025020	ENSMUSG00000106921
MI0003539	ENSMUSG00000097568
MI0000391	ENSMUSG00000097688
MI0000392	ENSMUSG00000097034
MI0000393	ENSMUSG00000097400
MI0030346	ENSMUSG00000097499
MI0018015	ENSMUSG00000111586
MI0004706	ENSMUSG00000107328
MI0021895	ENSMUSG00000111125
MI0000733	ENSMUSG00000107156
MI0000551	ENSMUSG00000107367
MI0008321	ENSMUSG00000104193
MI0015984	ENSMUSG00000104193
MI0004203	ENSMUSG00000104387
MI0004601	ENSMUSG00000098324
MI0005514	ENSMUSG00000099327
MI0000615	ENSMUSG00000099194
MI0019179	ENSMUSG00000107221
MI0003518	ENSMUSG00000098806
MI0004171	ENSMUSG00000099048
MI0014032	ENSMUSG00000102954
MI0014033	ENSMUSG00000103721
MI0001524	ENSMUSG00000098321
MI0001525	ENSMUSG00000098576
MI0000154	ENSMUSG00000099044
MI0001526	ENSMUSG00000099171
MI0012528	ENSMUSG00000099231
MI0014034	ENSMUSG00000098913
MI0000162	ENSMUSG00000107170
MI0000625	ENSMUSG00000099090
MI0006290	ENSMUSG00000098545
MI0001165	ENSMUSG00000098610
MI0023735	ENSMUSG00000111718
MI0005475	ENSMUSG00000098738
MI0009935	ENSMUSG00000099007
MI0030345	ENSMUSG00000099028
MI0000227	ENSMUSG00000098554
MI0022837	ENSMUSG00000106983
